"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0032200" "GO:0032200" "telomere organization" "26/936" "174/18866" 4.79600502361622e-07 0.000104652826286159 9.44686778993879e-05 "RFC3/RAD51C/POLD1/CCNE1/POLE/PRIM1/TELO2/ACD/POLE2/WRAP53/FEN1/HSP90AB1/RECQL4/CCT6A/CCNE2/POLA2/TCP1/XRCC3/RFC5/PINX1/RFC2/RPA2/HSP90AA1/RFC4/POLE3/RPA3" 26
"GO:0035966" "GO:0035966" "response to topologically incorrect protein" "28/936" "205/18866" 1.14147209715359e-06 0.000223937074477872 0.000202144940651061 "KLHL15/BCL2L11/HSPD1/HSPA1A/HSPA1B/HSPA6/EP300/HSPA8/HSPH1/CTH/HSP90AB1/CLGN/RNF5/PREB/YOD1/ATF3/HSPA4L/SDF2L1/DNAJB1/HSPA9/HSPB8/HSP90AA1/DNAJA1/HSPE1/MANF/DDX11/CHAC1/HSPA1L" 28
"GO:0071103" "GO:0071103" "DNA conformation change" "40/936" "355/18866" 1.1545352321754e-06 0.000223937074477872 0.000202144940651061 "UBB/CHD7/SUV39H1/RFC3/CDCA5/MCM8/SMC2/MCM3/TOP3A/NUSAP1/NOC2L/BEND3/MCM7/GRWD1/GINS2/NCAPD3/ASF1B/NASP/CHD1/CHTF18/RECQL4/RAD54L/SUPV3L1/CENPM/BAHD1/MCM4/NCAPH2/HAT1/CENPW/RFC5/HELLS/RFC2/CHAF1A/CENPQ/RBBP4/RFC4/MCM2/DDX11/DSCC1/POLE3" 40
"GO:2001235" "GO:2001235" "positive regulation of apoptotic signaling pathway" "26/936" "183/18866" 1.28658561139117e-06 0.000234966893391112 0.000212101407639867 "UBB/AGT/BCL2L11/HIP1R/RET/BIK/LGALS9/PLAGL2/PPP1R13B/MAL/ATF3/CHCHD10/RAD9A/TRAF2/NGFR/SLC9A3R1/MSX1/MOAP1/STK4/NKX3-1/PRKCD/DEDD2/E2F1/HTRA2/PMAIP1/MLLT11" 26
"GO:0000076" "GO:0000076" "DNA replication checkpoint" "7/936" "17/18866" 9.07859700727111e-06 0.0010565469450462 0.000953730506658586 "ORC1/CDC45/CLSPN/TIMELESS/CDT1/RAD9A/CDC6" 7
"GO:0048285" "GO:0048285" "organelle fission" "46/936" "476/18866" 1.25005421411377e-05 0.00141269105858544 0.00127521693699833 "UBB/MYBL2/FIGNL1/BCL2L11/CCNA1/CDCA5/RAD51C/MTFR2/HSPA1A/FANCA/RANBP1/HSPA1B/KIFC1/CENPF/CCNE1/SMC2/DSN1/CDC25C/NUSAP1/PKMYT1/UBE2C/CDCA8/MYO19/NCAPD3/SPAG5/BUB1/KIFC2/KATNB1/RAD54L/KIF22/CCNE2/MTFP1/CDT1/ZWINT/MX1/XRCC3/NCAPH2/CDC6/PSMC3IP/PINX1/MSX1/ZNF711/MX2/TTK/VRK1/DSCC1" 46
"GO:0008637" "GO:0008637" "apoptotic mitochondrial changes" "19/936" "125/18866" 1.26783425154699e-05 0.00141269105858544 0.00127521693699833 "BCL2L11/HIP1R/HSPD1/HSPA1A/BIK/PIM2/GGCT/IFIT2/PPP1R13B/CHCHD10/ARRB2/FZD9/IFI6/SLC25A5/MOAP1/E2F1/PMAIP1/MLLT11/CCK" 19
"GO:0000819" "GO:0000819" "sister chromatid segregation" "25/936" "196/18866" 1.42693253701423e-05 0.0015568428534049 0.00140534079467783 "CDCA5/RAD51C/KIFC1/CENPF/SMC2/DSN1/NUSAP1/UBE2C/CDCA8/NCAPD3/FEN1/SPAG5/BUB1/KATNB1/ESCO2/KIF22/CDT1/ZWINT/XRCC3/NCAPH2/CDC6/PINX1/TTK/DDX11/DSCC1" 25
"GO:0034502" "GO:0034502" "protein localization to chromosome" "15/936" "85/18866" 1.67945733839749e-05 0.00179496287371177 0.00162028848694804 "CDCA5/MCM8/ACD/EZH2/LRWD1/WRAP53/ESCO2/CCT6A/CDT1/MSH2/TCP1/PINX1/RPA2/CENPQ/TTK" 15
"GO:0060249" "GO:0060249" "anatomical structure homeostasis" "45/936" "469/18866" 1.85431811082835e-05 0.00190413018557021 0.00171883232935606 "RFC3/RAD51C/CDH3/POLD1/CCNE1/POLE/PRIM1/NELL2/TELO2/ACD/IL6/POLE2/HOMER2/WRAP53/FEN1/TYRO3/HSP90AB1/SH3GL2/LSR/TJP2/SLC39A8/RECQL4/CCT6A/CORO1A/CCNE2/POLA2/CXADR/TCP1/MFSD2A/CA2/XRCC3/NCDN/RFC5/RBP4/PINX1/RFC2/LPCAT1/RPA2/HSP90AA1/F11R/ATP1B2/RFC4/S1PR1/POLE3/RPA3" 45
"GO:0000083" "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" "9/936" "35/18866" 3.8480462539795e-05 0.00359861039858762 0.00324841648996653 "CCNA1/ORC1/CCNE1/CDC45/CDT1/CDC6/CDK18/E2F1/RRM2" 9
"GO:0090329" "GO:0090329" "regulation of DNA-dependent DNA replication" "11/936" "52/18866" 3.92785448156852e-05 0.00360880244210076 0.00325761670853633 "RFC3/DBF4/TIMELESS/CHTF18/CDC7/GMNN/CDT1/RFC5/RFC2/RFC4/DSCC1" 11
"GO:0032069" "GO:0032069" "regulation of nuclease activity" "7/936" "22/18866" 6.39924841114034e-05 0.00558547732152366 0.00504193414288268 "OAS2/HSPA1A/OAS3/OASL/PRKCD/OAS1/DDX11" 7
"GO:0045953" "GO:0045953" "negative regulation of natural killer cell mediated cytotoxicity" "6/936" "16/18866" 7.65051388264317e-05 0.00656295055452025 0.00592428588893811 "MICA/HLA-F/LGALS9/HLA-G/ARRB2/HLA-B" 6
"GO:0042769" "GO:0042769" "DNA damage response, detection of DNA damage" "9/936" "38/18866" 7.76977151766766e-05 0.00656295055452025 0.00592428588893811 "UBB/RFC3/POLD1/DTL/RFC5/RFC2/RPA2/RFC4/RPA3" 9
"GO:0031342" "GO:0031342" "negative regulation of cell killing" "7/936" "24/18866" 0.000119031161283161 0.00959024910215253 0.00865698696878828 "MICA/HLA-F/LGALS9/HSP90AB1/HLA-G/ARRB2/HLA-B" 7
"GO:0009615" "GO:0009615" "response to virus" "34/936" "349/18866" 0.000141517431968625 0.0112257940677829 0.0101333710859799 "OAS2/MICA/CXCL10/ODC1/LGALS9/ZC3H12A/IFI44/IL6/PENK/PIM2/CCL5/CXCR4/IFIT1/IFIT2/HERC5/OAS3/CYP1A1/MX1/RSAD2/ISG15/OASL/DDX58/IFI6/F2RL1/BATF3/MX2/MICB/IFIT3/OAS1/ISG20/EXOSC4/PMAIP1/EXOSC5/IFI27" 34
"GO:1901215" "GO:1901215" "negative regulation of neuron death" "24/936" "212/18866" 0.000143618140641866 0.0112257940677829 0.0101333710859799 "HLA-F/NR4A2/TNFRSF1B/HSPD1/CSF3/CPEB4/HMOX1/ATP13A2/ERBB3/TYRO3/HSP90AB1/CRLF1/CORO1A/CLN3/MSH2/EN2/ARRB2/XRCC2/TRAF2/FZD9/HTRA2/APOE/CNTFR/POU4F1" 24
"GO:0051099" "GO:0051099" "positive regulation of binding" "21/936" "174/18866" 0.000150215140342696 0.0115687748525691 0.0104429751591184 "HIP1R/CDCA5/EP300/CSF3/ACD/BAMBI/HSP90AB1/GMNN/CDT1/PLCL2/PINX1/TIAM1/GTF2B/HES1/STK4/CEBPG/RAMP1/APOE/DDX11/RAMP2/POU4F1" 21
"GO:2000831" "GO:2000831" "regulation of steroid hormone secretion" "6/936" "18/18866" 0.000162814878165317 0.012357413289156 0.0111548683118297 "AGT/BMP6/GAL/TAC1/CRY1/NKX3-1" 6
"GO:0015803" "GO:0015803" "branched-chain amino acid transport" "5/936" "12/18866" 0.000175817305689675 0.0129683835196736 0.0117063827998863 "SLC43A1/LLGL2/SLC3A2/SLC43A2/SLC25A44" 5
"GO:0042267" "GO:0042267" "natural killer cell mediated cytotoxicity" "11/936" "61/18866" 0.000180828881054823 0.0129726143847138 0.0117102019440117 "MICA/HLA-F/LGALS9/CORO1A/ULBP3/HLA-G/RAET1G/ARRB2/CEBPG/ULBP2/HLA-B" 11
"GO:0045071" "GO:0045071" "negative regulation of viral genome replication" "11/936" "61/18866" 0.000180828881054823 0.0129726143847138 0.0117102019440117 "OAS2/ZC3H12A/CCL5/IFIT1/OAS3/MX1/RSAD2/ISG15/OASL/OAS1/ISG20" 11
"GO:0098813" "GO:0098813" "nuclear chromosome segregation" "28/936" "272/18866" 0.000215994391403307 0.0151910721776896 0.0137127735143672 "CDCA5/RAD51C/KIFC1/CENPF/CCNE1/SMC2/DSN1/NUSAP1/UBE2C/CDCA8/NCAPD3/FEN1/SPAG5/BUB1/KATNB1/ESCO2/KIF22/CCNE2/CDT1/ZWINT/XRCC3/NCAPH2/CDC6/PINX1/CENPQ/TTK/DDX11/DSCC1" 28
"GO:1904029" "GO:1904029" "regulation of cyclin-dependent protein kinase activity" "15/936" "106/18866" 0.000229601866586689 0.015821381254138 0.0142817449146928 "CEBPA/CCNA1/CNPPD1/CCNE1/CDC25C/PKMYT1/HSP90AB1/CDC25A/HERC5/CCNE2/CCNJ/CCNJL/CDC6/CDKN2D/CCNO" 15
"GO:0010043" "GO:0010043" "response to zinc ion" "10/936" "54/18866" 0.000281557426944189 0.0191495616221651 0.0172860479071272 "MT1F/MT1M/ATP13A2/MT1A/MT1G/SLC30A3/MT1X/CA2/GGH/CRIP1" 10
"GO:0007059" "GO:0007059" "chromosome segregation" "32/936" "334/18866" 0.000296217199899252 0.0198883266137485 0.0179529209817482 "CDCA5/RAD51C/KIFC1/CENPF/CCNE1/SMC2/DSN1/TOP3A/NUSAP1/UBE2C/CDCA8/NCAPD3/FEN1/SPAG5/BUB1/KATNB1/ESCO2/KIF22/CCNE2/CDT1/ZWINT/XRCC3/NCAPH2/CDC6/CENPW/SLC25A5/PINX1/CENPQ/TTK/DDX11/DSCC1/BEX4" 32
"GO:0001911" "GO:0001911" "negative regulation of leukocyte mediated cytotoxicity" "6/936" "20/18866" 0.000312130300374831 0.0205036846012328 0.0185083962381308 "MICA/HLA-F/LGALS9/HLA-G/ARRB2/HLA-B" 6
"GO:0002720" "GO:0002720" "positive regulation of cytokine production involved in immune response" "10/936" "55/18866" 0.000329035352448202 0.0210141236679419 0.0189691626167507 "HLA-F/PRKCZ/IL6/FZD5/RSAD2/HLA-G/RAET1G/TRAF2/DDX58/F2RL1" 10
"GO:0097345" "GO:0097345" "mitochondrial outer membrane permeabilization" "10/936" "55/18866" 0.000329035352448202 0.0210141236679419 0.0189691626167507 "BCL2L11/HIP1R/HSPA1A/PPP1R13B/CHCHD10/FZD9/SLC25A5/MOAP1/E2F1/PMAIP1" 10
"GO:0006882" "GO:0006882" "cellular zinc ion homeostasis" "8/936" "37/18866" 0.000380447931100576 0.0234400684138085 0.0211590298275256 "MT1F/MT1M/ATP13A2/SLC39A8/MT1A/MT1G/SLC30A3/MT1X" 8
"GO:0043524" "GO:0043524" "negative regulation of neuron apoptotic process" "18/936" "149/18866" 0.000429113265360606 0.0252501816931853 0.0227929943788821 "NR4A2/HSPD1/CPEB4/HMOX1/ERBB3/TYRO3/HSP90AB1/CRLF1/CORO1A/CLN3/MSH2/EN2/ARRB2/XRCC2/FZD9/APOE/CNTFR/POU4F1" 18
"GO:0043462" "GO:0043462" "regulation of ATPase activity" "12/936" "79/18866" 0.000492866632102156 0.0283642038716373 0.0256039796965967 "IFIT1/DNAJC9/DNAJA2/MSH2/BRSK2/DNAJB1/ATP1B3/DNAJA1/ATP1B2/MCM2/HSCB/AHSA1" 12
"GO:0070997" "GO:0070997" "neuron death" "33/936" "360/18866" 0.000530199666412117 0.0297986466723634 0.0268988316343395 "UBB/MYBL2/BCL2L11/HLA-F/NR4A2/TNFRSF1B/HSPD1/CSF3/CPEB4/HMOX1/ATP13A2/DPYSL4/CCL5/ERBB3/TYRO3/HSP90AB1/CRLF1/PPP1R13B/CORO1A/CLN3/MSH2/EN2/EGLN3/ARRB2/XRCC2/TRAF2/NGFR/FZD9/HTRA2/POLB/APOE/CNTFR/POU4F1" 33
"GO:0090068" "GO:0090068" "positive regulation of cell cycle process" "29/936" "302/18866" 0.000537478074066696 0.0297986466723634 0.0268988316343395 "CDCA5/RAD51C/MYBBP1A/RANBP1/EP300/DBF4/CDC45/CDC25C/NUSAP1/UBE2C/EZH2/FEN1/RAB11FIP4/DTL/SPAG5/CDC25A/CDC7/CYP1A1/CDT1/XRCC3/PLK4/CDC6/CNOT6/MSX1/ZNF711/POC1A/E2F1/DDX11/POU4F1" 29
"GO:0051131" "GO:0051131" "chaperone-mediated protein complex assembly" "6/936" "22/18866" 0.000551786691678051 0.0297986466723634 0.0268988316343395 "HSPD1/HSPA1A/HSP90AB1/LONP1/HSP90AA1/PSMG3" 6
"GO:0055069" "GO:0055069" "zinc ion homeostasis" "8/936" "39/18866" 0.000555267090805205 0.0297986466723634 0.0268988316343395 "MT1F/MT1M/ATP13A2/SLC39A8/MT1A/MT1G/SLC30A3/MT1X" 8
"GO:0030900" "GO:0030900" "forebrain development" "35/936" "391/18866" 0.000564003443785738 0.0298352124758173 0.0269318390860367 "KIF1A/UBB/CHD7/NR4A2/GBX2/DLX2/CRTAC1/STIL/SYNE2/AGTPBP1/EZH2/RTN4RL1/CXCR4/TYRO3/WDR62/RTN4R/TMEM108/MFSD2A/RTN4RL2/ATF5/ALDH1A3/DNAJB1/NPY/LHX2/MSX1/HES1/EFNA2/IGF2BP1/ATP1B2/EPHB2/E2F1/METTL3/HTRA2/HAP1/POU4F1" 35
"GO:0010273" "GO:0010273" "detoxification of copper ion" "5/936" "15/18866" 0.000588450753739633 0.0299612715889823 0.0270456309269308 "MT1F/MT1M/MT1A/MT1G/MT1X" 5
"GO:1990169" "GO:1990169" "stress response to copper ion" "5/936" "15/18866" 0.000588450753739633 0.0299612715889823 0.0270456309269308 "MT1F/MT1M/MT1A/MT1G/MT1X" 5
"GO:0035967" "GO:0035967" "cellular response to topologically incorrect protein" "19/936" "166/18866" 0.000594991836023327 0.0299612715889823 0.0270456309269308 "KLHL15/BCL2L11/HSPD1/HSPA1A/HSPA1B/HSPA6/EP300/HSPA8/CTH/CLGN/RNF5/PREB/YOD1/ATF3/SDF2L1/HSPA9/HSPB8/DDX11/HSPA1L" 19
"GO:0002367" "GO:0002367" "cytokine production involved in immune response" "14/936" "104/18866" 0.000615545812980285 0.0307010802150262 0.0277134460761349 "HLA-F/TNFRSF1B/HSPD1/PRKCZ/HMOX1/IL6/FZD5/RSAD2/HLA-G/RAET1G/CD55/TRAF2/DDX58/F2RL1" 14
"GO:0001836" "GO:0001836" "release of cytochrome c from mitochondria" "10/936" "60/18866" 0.000678027580115659 0.032994786354659 0.0297839433019655 "BCL2L11/BIK/GGCT/ARRB2/FZD9/IFI6/MOAP1/PMAIP1/MLLT11/CCK" 10
"GO:0002711" "GO:0002711" "positive regulation of T cell mediated immunity" "9/936" "50/18866" 0.000700230211085361 0.033643170783982 0.0303692310766234 "HLA-F/HSPD1/PRKCZ/IL6/FZD5/RSAD2/HLA-G/TRAF2/HLA-B" 9
"GO:0042254" "GO:0042254" "ribosome biogenesis" "29/936" "310/18866" 0.000816679215584238 0.0373946075076532 0.0337556018043417 "CHD7/ESF1/SUV39H1/DHX37/GEMIN4/RPP40/MYBBP1A/LYAR/RRP12/NOC2L/RCL1/RRP9/NOP2/RRP1/BOP1/NUP88/MRPS2/NOC4L/MPV17L2/RRP7A/LSG1/PWP2/MRPS7/NOP16/ISG20/EXOSC4/MRTO4/EXOSC5/RPP25" 29
"GO:0071294" "GO:0071294" "cellular response to zinc ion" "6/936" "24/18866" 0.000914259855316046 0.0412756798473287 0.0372589928332519 "MT1F/MT1M/ATP13A2/MT1A/MT1G/MT1X" 6
"GO:0006839" "GO:0006839" "mitochondrial transport" "26/936" "271/18866" 0.0010307929195361 0.0449855209967547 0.0406078158038301 "SLC25A13/BCL2L11/HIP1R/HSPD1/HSPA1A/TOMM40/FZD5/SLC25A33/SLC39A8/PPP1R13B/TIMM10/CHCHD10/FZD9/SLC25A5/SFXN4/MOAP1/HSP90AA1/CHCHD4/SLC25A10/E2F1/GRPEL2/HTRA2/MRPL18/PMAIP1/GRPEL1/HSPA1L" 26
"GO:0065004" "GO:0065004" "protein-DNA complex assembly" "24/936" "243/18866" 0.00106166852457501 0.0456338130034966 0.0411930201498856 "UBB/RAD51C/CENPF/MCM3/CDC45/MCM7/GRWD1/ASF1B/NASP/GMNN/CDT1/CENPM/MCM4/HAT1/CENPW/HELLS/CHAF1A/GTF2B/RPA2/CENPQ/BRF2/RBBP4/MCM2/RPA3" 24
"GO:0043281" "GO:0043281" "regulation of cysteine-type endopeptidase activity involved in apoptotic process" "22/936" "215/18866" 0.00106341502665479 0.0456338130034966 0.0411930201498856 "BCL2L12/BCL2L11/HIP1R/HSPD1/LGALS9/RPS6KA1/ATP2A3/POR/CYCS/EGLN3/ARRB2/TRAF2/NGFR/CDKN2D/IFI6/TNFRSF10A/NKX3-1/HSPE1/HTRA2/PMAIP1/CCK/WNT9A" 22
"GO:0006919" "GO:0006919" "activation of cysteine-type endopeptidase activity involved in apoptotic process" "12/936" "86/18866" 0.00107178900122782 0.0456338130034966 0.0411930201498856 "HIP1R/HSPD1/ATP2A3/CYCS/EGLN3/TRAF2/NGFR/TNFRSF10A/NKX3-1/HSPE1/PMAIP1/CCK" 12
"GO:0051607" "GO:0051607" "defense response to virus" "25/936" "258/18866" 0.00110862904871096 0.0460237110955024 0.0415449758358846 "OAS2/MICA/CXCL10/ZC3H12A/IL6/IFIT1/IFIT2/HERC5/OAS3/MX1/RSAD2/ISG15/OASL/DDX58/IFI6/F2RL1/MX2/MICB/IFIT3/OAS1/ISG20/EXOSC4/PMAIP1/EXOSC5/IFI27" 25
"GO:0061687" "GO:0061687" "detoxification of inorganic compound" "5/936" "17/18866" 0.00111609916156746 0.0460237110955024 0.0415449758358846 "MT1F/MT1M/MT1A/MT1G/MT1X" 5
