"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"hsa05143" "hsa05143" "African trypanosomiasis" "5/461" "37/8102" 0.0566777591026242 0.446155693448862 0.416095829309414 "3569/7064/2150/3039/3040" 5
"hsa04213" "hsa04213" "Longevity regulating pathway - multiple species" "7/461" "62/8102" 0.0610346187454057 0.468440698870989 0.436879376282904 "5291/3303/3304/3310/3312/8503/3305" 7
"hsa00270" "hsa00270" "Cysteine and methionine metabolism" "6/461" "50/8102" 0.0628015210929532 0.470182414606324 0.438503743435351 "2805/58478/1491/259307/23382/262" 6
"hsa00601" "hsa00601" "Glycosphingolipid biosynthesis - lacto and neolacto series" "4/461" "27/8102" 0.0643246300112886 0.470182414606324 0.438503743435351 "8703/10331/84002/10678" 4
"hsa00450" "hsa00450" "Selenocompound metabolism" "3/461" "17/8102" 0.0686855717241712 0.490383035333036 0.457343341712964 "1491/92935/51540" 3
"hsa04216" "hsa04216" "Ferroptosis" "5/461" "41/8102" 0.0812257167402655 0.552103305936281 0.514905191889828 "2180/3162/64116/6520/6303" 5
"hsa04144" "hsa04144" "Endocytosis" "20/461" "252/8102" 0.0816298839156718 0.552103305936281 0.514905191889828 "3134/3303/3304/118813/3310/5590/3107/3312/6457/7852/84440/6456/9829/9267/3135/409/84612/2261/3106/3305" 20
"hsa05221" "hsa05221" "Acute myeloid leukemia" "7/461" "67/8102" 0.0851178755992752 0.552103305936281 0.514905191889828 "1050/5291/8900/11040/3728/6932/8503" 7
"hsa04210" "hsa04210" "Apoptosis" "12/461" "136/8102" 0.0859696819688582 0.552103305936281 0.514905191889828 "3708/5291/10018/10912/54205/7186/8722/8797/7277/8503/27429/5366" 12
"hsa00020" "hsa00020" "Citrate cycle (TCA cycle)" "4/461" "30/8102" 0.0880770961998468 0.552103305936281 0.514905191889828 "4967/3419/50/6390" 4
"hsa05332" "hsa05332" "Graft-versus-host disease" "5/461" "42/8102" 0.0881207230973217 0.552103305936281 0.514905191889828 "3134/3107/3569/3135/3106" 5
"hsa01210" "hsa01210" "2-Oxocarboxylic acid metabolism" "3/461" "19/8102" 0.0901032294727088 0.553233828962432 0.515959545612143 "2805/3419/50" 3
"hsa04360" "hsa04360" "Axon guidance" "15/461" "182/8102" 0.0944970227734014 0.553859258910961 0.516542837043653 "4756/5291/10500/5590/10501/7852/27289/10507/5362/84612/1944/5336/1943/8503/2048" 15
"hsa01523" "hsa01523" "Antifolate resistance" "4/461" "31/8102" 0.09681370354442 0.553859258910961 0.516542837043653 "3569/6470/9429/8836" 4
"hsa00100" "hsa00100" "Steroid biosynthesis" "3/461" "20/8102" 0.101729315611838 0.553859258910961 0.516542837043653 "6309/10682/50814" 3
"hsa04934" "hsa04934" "Cushing syndrome" "13/461" "155/8102" 0.102993512798598 0.553859258910961 0.516542837043653 "3708/183/949/898/7855/3164/9134/6932/8326/8325/1869/51655/7483" 13
"hsa00240" "hsa00240" "Pyrimidine metabolism" "6/461" "57/8102" 0.103587839703818 0.553859258910961 0.516542837043653 "129607/79077/7083/139596/4860/6241" 6
"hsa00480" "hsa00480" "Glutathione metabolism" "6/461" "57/8102" 0.103587839703818 0.553859258910961 0.516542837043653 "4953/79017/494143/51056/79094/6241" 6
"hsa05145" "hsa05145" "Toxoplasmosis" "10/461" "112/8102" 0.104152317561752 0.553859258910961 0.516542837043653 "10319/3303/4793/3304/3310/3312/284217/54205/2775/3305" 10
"hsa04925" "hsa04925" "Aldosterone synthesis and secretion" "9/461" "98/8102" 0.104637905592299 0.553859258910961 0.516542837043653 "3708/183/949/4929/57118/3164/483/478/482" 9
"hsa04142" "hsa04142" "Lysosome" "11/461" "128/8102" 0.111729173848138 0.579303182129691 0.540272468847166 "2517/535/1497/4758/2717/1201/57192/533/968/8722/23062" 11
"hsa04933" "hsa04933" "AGE-RAGE signaling pathway in diabetic complications" "9/461" "100/8102" 0.114830484151624 0.579303182129691 0.540272468847166 "183/5291/5590/1729/4772/3569/5336/5580/8503" 9
"hsa05210" "hsa05210" "Colorectal cancer" "8/461" "86/8102" 0.115105844006225 0.579303182129691 0.540272468847166 "5291/10018/10912/4436/54205/6932/8503/5366" 8
"hsa05166" "hsa05166" "Human T-cell leukemia virus 1 infection" "17/461" "219/8102" 0.118663383962732 0.585746465400162 0.546281634112272 "5291/8900/3134/5902/2033/898/3107/4772/3569/9134/3135/292/4487/8503/1869/5423/3106" 17
"hsa04115" "hsa04115" "p53 signaling pathway" "7/461" "73/8102" 0.120202043388307 0.585746465400162 0.546281634112272 "898/10912/9134/54205/8797/5366/6241" 7
"hsa04068" "hsa04068" "FoxO signaling pathway" "11/461" "131/8102" 0.12569277915245 0.602932549996909 0.562309801471487 "5291/10018/2033/3569/9455/10912/10733/1032/6789/8503/1901" 11
"hsa04971" "hsa04971" "Gastric acid secretion" "7/461" "76/8102" 0.14015374308689 0.656419016890942 0.612192602757882 "3708/7430/760/483/478/482/6750" 7
"hsa05226" "hsa05226" "Gastric cancer" "12/461" "149/8102" 0.141119397768085 0.656419016890942 0.612192602757882 "5291/898/7855/10912/9134/3728/6932/8326/8325/8503/1869/7483" 12
"hsa00600" "hsa00600" "Sphingolipid metabolism" "5/461" "49/8102" 0.144261470055156 0.661018974730341 0.616482637156361 "4758/79603/2717/253782/10715" 5
"hsa05217" "hsa05217" "Basal cell carcinoma" "6/461" "63/8102" 0.147213978343213 0.664627813990682 0.619848329866159 "7855/10912/6932/8326/8325/7483" 6
"hsa04310" "hsa04310" "Wnt signaling pathway" "13/461" "166/8102" 0.150437668526933 0.669338612141571 0.624241736679264 "7090/2033/4772/7855/25805/7089/2239/6932/8326/8325/27101/85409/7483" 13
"hsa05216" "hsa05216" "Thyroid cancer" "4/461" "37/8102" 0.156844008242214 0.687873007576569 0.64152737205838 "5979/7170/10912/6932" 4
"hsa04931" "hsa04931" "Insulin resistance" "9/461" "108/8102" 0.160751000679317 0.68902603883741 0.642602717516803 "183/5291/5590/9945/3569/6195/5580/28965/8503" 9
"hsa01521" "hsa01521" "EGFR tyrosine kinase inhibitor resistance" "7/461" "79/8102" 0.161595683375549 0.68902603883741 0.642602717516803 "5291/10018/3569/2065/5336/2261/8503" 7
"hsa04657" "hsa04657" "IL-17 signaling pathway" "8/461" "94/8102" 0.165222380386844 0.694839325736455 0.648024332591517 "4314/3627/1440/2354/3569/3326/7186/3320" 8
"hsa05330" "hsa05330" "Allograft rejection" "4/461" "38/8102" 0.167960522205294 0.696809193473313 0.649861479940824 "3134/3107/3135/3106" 4
"hsa00513" "hsa00513" "Various types of N-glycan biosynthesis" "4/461" "39/8102" 0.179345890066871 0.734122510007059 0.68466080137809 "8703/11320/64377/338707" 4
"hsa00790" "hsa00790" "Folate biosynthesis" "3/461" "26/8102" 0.181812014843258 0.734367287193339 0.684889086633253 "2643/8836/6697" 3
"hsa05203" "hsa05203" "Viral carcinogenesis" "15/461" "204/8102" 0.185047095785802 0.734367287193339 0.684889086633253 "5291/8900/3134/5902/2033/898/3107/9134/3135/7186/2959/8503/5423/5366/3106" 15
"hsa04668" "hsa04668" "TNF signaling pathway" "9/461" "112/8102" 0.186581916615897 0.734367287193339 0.684889086633253 "5291/4314/7133/3627/3569/6352/7186/8503/192111" 9
"hsa05017" "hsa05017" "Spinocerebellar ataxia" "11/461" "143/8102" 0.190439757362699 0.735669109143989 0.686103197967307 "3708/5291/23130/489/5709/54205/7186/6712/292/2959/8503" 11
"hsa00062" "hsa00062" "Fatty acid elongation" "3/461" "27/8102" 0.196497937947254 0.735669109143989 0.686103197967307 "79993/6785/122970" 3
"hsa01040" "hsa01040" "Biosynthesis of unsaturated fatty acids" "3/461" "27/8102" 0.196497937947254 0.735669109143989 0.686103197967307 "79993/6785/122970" 3
"hsa04966" "hsa04966" "Collecting duct acid secretion" "3/461" "27/8102" 0.196497937947254 0.735669109143989 0.686103197967307 "535/10723/760" 3
"hsa05120" "hsa05120" "Epithelial cell signaling in Helicobacter pylori infection" "6/461" "70/8102" 0.206727641935948 0.764643205714894 0.71312515670993 "535/6352/533/1839/5336/50848" 6
"hsa05170" "hsa05170" "Human immunodeficiency virus 1 infection" "15/461" "212/8102" 0.225933699978361 0.825733879682819 0.770099829500177 "3708/5291/3134/7133/3107/995/4772/7852/54205/3135/7186/5336/8503/2775/3106" 15
"hsa04010" "hsa04010" "MAPK signaling pathway" "20/461" "294/8102" 0.233171351325645 0.830578994286388 0.774618503157544 "3303/3304/3310/2324/4772/9254/3312/2065/6195/3164/10912/7867/409/1944/7186/4804/2261/6789/1943/3305" 20
"hsa00630" "hsa00630" "Glyoxylate and dicarboxylate metabolism" "3/461" "30/8102" 0.242055031757478 0.830578994286388 0.774618503157544 "6470/50/283871" 3
"hsa05171" "hsa05171" "Coronavirus disease - COVID-19" "16/461" "232/8102" 0.247008455491762 0.830578994286388 0.774618503157544 "4939/5291/4314/3627/4793/1440/3569/4940/4599/1839/9636/23586/5336/4600/4938/8503" 16
"hsa05225" "hsa05225" "Hepatocellular carcinoma" "12/461" "168/8102" 0.247980282147793 0.830578994286388 0.774618503157544 "5291/8193/3162/7855/10912/6932/8326/5336/8325/8503/1869/7483" 12
"hsa00360" "hsa00360" "Phenylalanine metabolism" "2/461" "17/8102" 0.251708672016432 0.830578994286388 0.774618503157544 "2805/259307" 2
"hsa00910" "hsa00910" "Nitrogen metabolism" "2/461" "17/8102" 0.251708672016432 0.830578994286388 0.774618503157544 "760/767" 2
"hsa02010" "hsa02010" "ABC transporters" "4/461" "45/8102" 0.252224180827153 0.830578994286388 0.774618503157544 "9619/10347/21/9429" 4
"hsa01230" "hsa01230" "Biosynthesis of amino acids" "6/461" "75/8102" 0.253670511500613 0.830578994286388 0.774618503157544 "2805/1491/6470/384/3419/50" 6
"hsa05214" "hsa05214" "Glioma" "6/461" "75/8102" 0.253670511500613 0.830578994286388 0.774618503157544 "5291/57118/10912/5336/8503/1869" 6
"hsa04530" "hsa04530" "Tight junction" "12/461" "169/8102" 0.254314089455767 0.830578994286388 0.774618503157544 "5590/7430/57530/9414/3993/79784/84612/7074/9368/7277/50848/92359" 12
"hsa04930" "hsa04930" "Type II diabetes mellitus" "4/461" "46/8102" 0.264951663686243 0.8562122184387 0.798524681691502 "5291/5590/5580/8503" 4
"hsa05412" "hsa05412" "Arrhythmogenic right ventricular cardiomyopathy" "6/461" "77/8102" 0.273225294104786 0.864941612336936 0.806665930243945 "9254/284217/1829/489/3728/6932" 6
"hsa00511" "hsa00511" "Other glycan degradation" "2/461" "18/8102" 0.273287740705807 0.864941612336936 0.806665930243945 "2517/4758" 2
"hsa04623" "hsa04623" "Cytosolic DNA-sensing pathway" "5/461" "63/8102" 0.287853244901678 0.892375689486795 0.832251628803046 "3627/4793/3569/6352/23586" 5
"hsa00520" "hsa00520" "Amino sugar and nucleotide sugar metabolism" "4/461" "48/8102" 0.290735137940794 0.892375689486795 0.832251628803046 "55276/9945/51005/91373" 4
"hsa05020" "hsa05020" "Prion disease" "18/461" "273/8102" 0.291457160701447 0.892375689486795 0.832251628803046 "3708/5291/3303/3304/3310/3312/3569/6352/147700/10963/5709/54205/292/7277/5580/8503/6390/3305" 18
"hsa04062" "hsa04062" "Chemokine signaling pathway" "13/461" "192/8102" 0.298067159266486 0.892375689486795 0.832251628803046 "5291/3627/4793/5590/6352/7852/409/58191/5336/7074/5580/8503/6373" 13
"hsa04929" "hsa04929" "GnRH secretion" "5/461" "64/8102" 0.299095763453323 0.892375689486795 0.832251628803046 "3708/5291/409/610/8503" 5
"hsa05163" "hsa05163" "Human cytomegalovirus infection" "15/461" "225/8102" 0.29942565216143 0.892375689486795 0.832251628803046 "3708/5291/3134/3107/4772/3569/6352/7852/54205/3135/7186/8503/1869/2775/3106" 15
"hsa04114" "hsa04114" "Oocyte meiosis" "9/461" "129/8102" 0.312688486451998 0.892375689486795 0.832251628803046 "3708/64506/898/995/80315/9088/6195/699/9134" 9
"hsa05161" "hsa05161" "Hepatitis B" "11/461" "162/8102" 0.316204905907833 0.892375689486795 0.832251628803046 "5291/8900/2033/898/4772/3569/9134/54205/23586/8503/1869" 11
"hsa00670" "hsa00670" "One carbon pool by folate" "2/461" "20/8102" 0.316295475681359 0.892375689486795 0.832251628803046 "4522/6470" 2
"hsa00510" "hsa00510" "N-Glycan biosynthesis" "4/461" "50/8102" 0.316836971185865 0.892375689486795 0.832251628803046 "8703/11320/6480/57171" 4
"hsa05110" "hsa05110" "Vibrio cholerae infection" "4/461" "50/8102" 0.316836971185865 0.892375689486795 0.832251628803046 "535/9414/533/5336" 4
"hsa05144" "hsa05144" "Malaria" "4/461" "50/8102" 0.316836971185865 0.892375689486795 0.832251628803046 "1440/3569/3039/3040" 4
"hsa01522" "hsa01522" "Endocrine resistance" "7/461" "98/8102" 0.323449746435991 0.894586235638283 0.834313238791746 "5291/638/3714/1839/10683/8503/1869" 7
"hsa04750" "hsa04750" "Inflammatory mediator regulation of TRP channels" "7/461" "98/8102" 0.323449746435991 0.894586235638283 0.834313238791746 "3708/5291/2150/5336/5583/5580/8503" 7
"hsa04913" "hsa04913" "Ovarian steroidogenesis" "4/461" "51/8102" 0.329964068302153 0.904455080078223 0.84351716708821 "949/1543/654/122970" 4
"hsa04514" "hsa04514" "Cell adhesion molecules" "10/461" "149/8102" 0.341401392474257 0.916253651746879 0.854520806703758 "4756/3134/1001/3107/23308/3135/1002/94030/50848/3106" 10
"hsa04061" "hsa04061" "Viral protein interaction with cytokine and cytokine receptor" "7/461" "100/8102" 0.342140457115858 0.916253651746879 0.854520806703758 "7133/3627/3569/6352/7852/8797/6373" 7
"hsa04916" "hsa04916" "Melanogenesis" "7/461" "101/8102" 0.351537578058816 0.916253651746879 0.854520806703758 "2033/7855/6932/8326/8325/2775/7483" 7
"hsa04920" "hsa04920" "Adipocytokine signaling pathway" "5/461" "69/8102" 0.356122718926678 0.916253651746879 0.854520806703758 "7133/2180/4793/7186/4852" 5
"hsa05320" "hsa05320" "Autoimmune thyroid disease" "4/461" "53/8102" 0.356288611411296 0.916253651746879 0.854520806703758 "3134/3107/3135/3106" 4
"hsa00220" "hsa00220" "Arginine biosynthesis" "2/461" "22/8102" 0.358696500671006 0.916253651746879 0.854520806703758 "2805/384" 2
"hsa00900" "hsa00900" "Terpenoid backbone biosynthesis" "2/461" "22/8102" 0.358696500671006 0.916253651746879 0.854520806703758 "23590/4598" 2
"hsa04972" "hsa04972" "Pancreatic secretion" "7/461" "102/8102" 0.360961304365931 0.916253651746879 0.854520806703758 "3708/489/760/483/478/482/885" 7
"hsa04151" "hsa04151" "PI3K-Akt signaling pathway" "22/461" "354/8102" 0.364378316014673 0.916253651746879 0.854520806703758 "5291/10018/10319/1440/2324/898/29941/284217/3569/2065/3326/2057/3164/9134/9170/1944/4804/1298/2261/1943/3320/8503" 22
"hsa04071" "hsa04071" "Sphingolipid signaling pathway" "8/461" "119/8102" 0.365833635666106 0.916253651746879 0.854520806703758 "5291/5590/79603/253782/7186/8503/10715/1901" 8
"hsa04622" "hsa04622" "RIG-I-like receptor signaling pathway" "5/461" "70/8102" 0.367614647925964 0.916253651746879 0.854520806703758 "3627/4793/9636/7186/23586" 5
"hsa00740" "hsa00740" "Riboflavin metabolism" "1/461" "8/8102" 0.374290027898833 0.916253651746879 0.854520806703758 "80308" 1
"hsa04260" "hsa04260" "Cardiac muscle contraction" "6/461" "87/8102" 0.374896317850471 0.916253651746879 0.854520806703758 "7170/9254/489/483/478/482" 6
"hsa04614" "hsa04614" "Renin-angiotensin system" "2/461" "23/8102" 0.379543416892541 0.916253651746879 0.854520806703758 "183/7064" 2
"hsa04625" "hsa04625" "C-type lectin receptor signaling pathway" "7/461" "104/8102" 0.37986527649043 0.916253651746879 0.854520806703758 "3708/5291/4772/3569/5336/5580/8503" 7
"hsa04919" "hsa04919" "Thyroid hormone signaling pathway" "8/461" "121/8102" 0.383378420241338 0.916253651746879 0.854520806703758 "5291/2033/489/483/5336/478/482/8503" 8
"hsa04150" "hsa04150" "mTOR signaling pathway" "10/461" "155/8102" 0.387754798562106 0.916253651746879 0.854520806703758 "5291/9894/7855/6195/6520/8326/8325/64121/8503/7483" 10
"hsa00260" "hsa00260" "Glycine, serine and threonine metabolism" "3/461" "40/8102" 0.399843633761113 0.916253651746879 0.854520806703758 "1491/6470/211" 3
"hsa04977" "hsa04977" "Vitamin digestion and absorption" "2/461" "24/8102" 0.400099688128779 0.916253651746879 0.854520806703758 "949/8884" 2
"hsa01524" "hsa01524" "Platinum drug resistance" "5/461" "73/8102" 0.402078210255888 0.916253651746879 0.854520806703758 "5291/4436/54205/8503/5366" 5
"hsa05206" "hsa05206" "MicroRNAs in cancer" "19/461" "310/8102" 0.402164658169279 0.916253651746879 0.854520806703758 "5291/10018/113130/2033/898/995/7430/3162/2146/2065/993/9134/1944/5336/2261/1943/10642/8503/1869" 19
"hsa04390" "hsa04390" "Hippo signaling pathway" "10/461" "157/8102" 0.403326521635361 0.916253651746879 0.854520806703758 "5590/7855/3993/654/6932/84612/8326/8325/85409/7483" 10
"hsa04976" "hsa04976" "Bile secretion" "6/461" "90/8102" 0.405897383184285 0.916253651746879 0.854520806703758 "949/9429/760/483/478/482" 6
"hsa05410" "hsa05410" "Hypertrophic cardiomyopathy" "6/461" "90/8102" 0.405897383184285 0.916253651746879 0.854520806703758 "183/7170/9254/284217/3569/489" 6
"hsa05202" "hsa05202" "Transcriptional misregulation in cancer" "12/461" "192/8102" 0.41124337455642 0.921545372181175 0.859455995999588 "1050/6692/8900/8938/4314/2313/3569/10912/7102/3728/4804/4291" 12
"hsa05219" "hsa05219" "Bladder cancer" "3/461" "41/8102" 0.415396047990233 0.922789685806661 0.860616473647906 "1839/2261/1869" 3
"hsa04015" "hsa04015" "Rap1 signaling pathway" "13/461" "210/8102" 0.41781031376914 0.922789685806661 0.860616473647906 "5291/5909/5590/2324/9170/84612/1944/4804/2261/7074/1943/8503/2775" 13
"hsa05213" "hsa05213" "Endometrial cancer" "4/461" "58/8102" 0.421810770536586 0.923577700001325 0.861351395166674 "5291/10912/6932/8503" 4
"hsa04550" "hsa04550" "Signaling pathways regulating pluripotency of stem cells" "9/461" "143/8102" 0.427143531480553 0.923577700001325 0.861351395166674 "5291/7855/6932/8326/3231/2261/8325/8503/7483" 9
"hsa04066" "hsa04066" "HIF-1 signaling pathway" "7/461" "109/8102" 0.427192291205825 0.923577700001325 0.861351395166674 "5291/2033/3162/3569/112399/5336/8503" 7
"hsa04370" "hsa04370" "VEGF signaling pathway" "4/461" "59/8102" 0.434756526894204 0.930862380659452 0.86814526843604 "5291/7867/5336/8503" 4
"hsa03008" "hsa03008" "Ribosome biogenesis in eukaryotes" "7/461" "110/8102" 0.436626002654597 0.930862380659452 0.86814526843604 "10799/138716/10171/27341/55341/5822/54913" 7
"hsa05130" "hsa05130" "Pathogenic Escherichia coli infection" "12/461" "197/8102" 0.446625102229286 0.945613147478557 0.881902198231331 "4793/4645/7430/3569/79784/9170/54205/9267/7186/8797/9368/7277" 12
"hsa04621" "hsa04621" "NOD-like receptor signaling pathway" "11/461" "181/8102" 0.45570978463869 0.958239067699163 0.893677443559652 "3708/4939/4793/3569/6352/3326/4940/7186/3320/5580/4938" 11
"hsa00561" "hsa00561" "Glycerolipid metabolism" "4/461" "61/8102" 0.460392685998514 0.959024414591817 0.894409877486625 "150763/2717/84649/9388" 4
"hsa00230" "hsa00230" "Purine metabolism" "8/461" "130/8102" 0.462330988141983 0.959024414591817 0.894409877486625 "55276/5471/100/5147/2766/2272/4860/6241" 8
"hsa03018" "hsa03018" "RNA degradation" "5/461" "79/8102" 0.470121940359974 0.968640507990013 0.903378083913196 "3329/57472/3313/54512/56915" 5
"hsa03022" "hsa03022" "Basal transcription factors" "3/461" "45/8102" 0.476122279944375 0.974463599619487 0.908808843121894 "6875/2959/6877" 3
